ISBN,Título,Precio,Autores,Colecciones,Editoriales,Series,Fecha de venta,Formato,Páginas,Nombre Imagen
9788417575540,GIDEON FALLS 02: PECADOS ORIGINALES,16.0,"Andrea Sorrentino, Dave Stewart, Jeff Lemire",CÓMIC USA,Astiberri,GIDEON FALLS,31/10/2019,Cartoné,136,gideon_falls_2.jpg
9788416435616,CLYDE,16.0,Jim Benton,CÓMIC USA,Kraken,CLYDE,31/10/2019,Rústica con solapas,105,clyde.jpg
9788441541269,NIETZSCHE: CREA TU LIBERTAD,19.95,Michel Onfray,CÓMIC EUROPEO,Oberon Libros,NIETZSCHE: CREA TU LIBERTAD,31/10/2019,Cartoné,136,nietzsche.jpg
9788467937244,FIRE FORCE 13,8.0,Atsushi Ohkubo,CÓMIC MANGA,NORMA Editorial,FIRE FORCE,31/10/2019,Rústica con sobrecubierta,192,fire_force_13.jpg
9788467939354,LIQUID MEMORIES 02 (de 2),8.5,"Dani Bermúdez, Fidel de Tovar",CÓMIC MANGA,NORMA Editorial,LIQUID MEMORIES,31/10/2019,Rústica con sobrecubierta,232,liquid_memories_2.jpg
977260476100700004,COMICMANIA 04,5.95,Varios autores,CÓMIC USA,Panini Comics,COMICMANIA,31/10/2019,Rústica,96,comicmania-4.jpg
9788467938326,GRANDES ESPERANZAS,18.0,"Charles Dickens, Crystal S. Chan, Nokman Poon, Stacy King",CÓMIC MANGA,NORMA Editorial,GRANDES ESPERANZAS,31/10/2019,Rústica con solapas,304,grandes_esperanzas.jpg
9788412034950,MOMIAS. BIBLIOTECAS DE COMICS DE TERROR DE LOS ANOS 50,29.95,Steve Banes,CÓMIC EUROPEO,Diábolo Ediciones,MOMIAS. BIBLIOTECAS DE COMICS DE TERROR DE LOS ANOS 50,31/10/2019,Cartoné,150,momias.jpg
9788467938456,EL PLANETA DE LOS ZOMBIS,8.5,Kenji Hamaoka,CÓMIC MANGA,NORMA Editorial,EL PLANETA DE LOS ZOMBIS,31/10/2019,Rústica con sobrecubierta,168,planeta_zombies.jpg
9788467937756,SIGUE LAS NUBES AL NORNOROESTE 02,8.5,Aki Irie,CÓMIC MANGA,NORMA Editorial,SIGUE LAS NUBES AL NORNOROESTE,31/10/2019,Rústica con sobrecubierta,224,nornoroeste_2.jpg
9788467936933,CRIMEN PERFECTO 03,8.5,"Arata Miyatsuki, Yuuya Kanzaki",CÓMIC MANGA,NORMA Editorial,CRIMEN PERFECTO,31/10/2019,Rústica con sobrecubierta,200,crimen_perfecto_3.jpg
9788417318567,LOS QUE QUEDAN,26.0,"Alexandre Cañas Ochoa, Josep Busquet",CÓMIC EUROPEO,Ponent Mon,LOS QUE QUEDAN,31/10/2019,Cartoné,128,que_quedan.jpg
9788467937053,YO-KAI WATCH 11,7.95,Noriyuki Konishi,CÓMIC MANGA,NORMA Editorial,YO-KAI WATCH,31/10/2019,Rústica con solapas,192,yo-kai_watch_11.jpg
9788417989071,MONSTER ALLERGY 01,18.0,"Alessandro Barbucci, Barbara Canepa",CÓMIC EUROPEO,Nuevo Nueve,MONSTER ALLERGY,31/10/2019,Rústica,144,monster-allergy.jpg
9788467936872,AQUELLA VEZ QUE ME CONVERTI EN SLIME 05,8.0,"Fuse, Taiki Kawakami",CÓMIC MANGA,NORMA Editorial,AQUELLA VEZ QUE ME CONVERTI EN SLIME,31/10/2019,Rústica con sobrecubierta,192,slime_5.jpg
9788417978181,FARINA: HISTORIA I INDISCRECIONS DEL NARCOTRAFIC A GALICIA (Edicio en catala),18.9,Luis Bustos,CÓMIC EUROPEO,Navona,FARINA,31/10/2019,Cartoné con sobrecubierta,128,fari_a.jpg
9788467938968,"IM, EL SUMO SACERDOTE IMHOTEP 10",8.0,Makoto Morishita,CÓMIC MANGA,NORMA Editorial,"IM, EL SUMO SACERDOTE IMHOTEP",31/10/2019,Rústica con sobrecubierta,192,imhotep_10.jpg
9788467937664,"HARRY POTTER: LOS ARCHIVOS DE LAS PELICULAS 02. CALLEJON DIAGON, EL EXPRESO DE HOGWARTS Y EL MINISTERIO",19.95,Jody Revenson,HARRY POTTER,NORMA Editorial,HARRY POTTER: LOS ARCHIVOS DE LAS PELICULAS,31/10/2019,Cartoné,64,harry_archivos_pelis.jpg
9788467938210,CORTO MALTES: EL DiA DE TAROWEAN (Edicio en catala),19.95,"Juan Díaz Canales, Rubén Pellejero",CÓMIC EUROPEO,NORMA Editorial,CORTO MALTES: EL DIA DE TAROWEAN,31/10/2019,Cartoné,88,cat_corto_maltes.jpg
9788467938203,CORTO MALTES: EL DIA DE TAROWEAN (Edicion en B/N),24.0,"Juan Díaz Canales, Rubén Pellejero",CÓMIC EUROPEO,NORMA Editorial,CORTO MALTES: EL DIA DE TAROWEAN,31/10/2019,Cartoné,80,corto_maltes_b-n.jpg
9788467939590,EL CIELO EN GUERRA,35.0,"Olivier Dauger, Philippe Pinard",CÓMIC EUROPEO,NORMA Editorial,EL CIELO EN GUERRA,31/10/2019,Cartoné,204,cielo_guerra.jpg
9788467939583,LOS MUNDOS DE THORGAL. LA JUVENTUD DE THORGAL 06: EL DRAKAR DE LOS HIELOS,16.0,"Surzhenko, Yann",THORGAL,NORMA Editorial,LA JUVENTUD DE THORGAL,31/10/2019,Cartoné,48,juventud_thorgal.jpg
9788467938555,LA VIEJA GUARDIA. LIBRO UNO: ABRIENDO FUEGO,19.0,"Daniela Miwa, Greg Rucka, Leandro Fernández",CÓMIC USA,NORMA Editorial,LA VIEJA GUARDIA,31/10/2019,Rústica,184,vieja_guardia.jpg
9788467939293,POLAR 04: LA CAIDA DEL KAISER,19.95,Victor Santos,CÓMIC USA,NORMA Editorial,POLAR,31/10/2019,Cartoné,168,polar_4.jpg
9788467937633,RICK Y MORTY 08,16.5,"CJ Cannon, Kyle Starks, Marc Ellerby",CÓMIC USA,NORMA Editorial,RICK Y MORTY,31/10/2019,Rústica,128,rick_morty_8.jpg
9788467938685,THE UMBRELLA ACADEMY 03: HOTEL OBLIVION (Edicion rustica),19.5,"Gabriel Bá, Gerard Way, Nick Filardi",CÓMIC USA,NORMA Editorial,UMBRELLA ACADEMY,31/10/2019,Rústica,200,umbrella_3.jpg
977260536700000007,TOMOS Y GRAPAS MAGAZINE 07,4.5,Varios autores,CÓMIC USA,Tomos y grapas,TOMOS Y GRAPAS MAGAZINE,31/10/2019,Grapa,72,tomos_grapas_7.jpg
